"test","lab","leaveout1","leaveout2"
0.375334186049774,"both","US-PFq","US-PFn"
0.30668888634947,"both","US-PFq","US-PFk"
0.565570000168746,"both","US-PFq","US-PFb"
0.673531672671628,"both","US-PFq","US-PFt"
0.341569642147535,"both","US-PFq","US-PFg"
0.490353544561815,"both","US-PFq","US-PFp"
0.350321094542184,"both","US-PFn","US-PFk"
0.596116981482253,"both","US-PFn","US-PFb"
0.505731692317149,"both","US-PFn","US-PFt"
0.518616272224128,"both","US-PFn","US-PFg"
0.624550987497288,"both","US-PFn","US-PFp"
0.210072063242396,"both","US-PFk","US-PFb"
0.411136016867513,"both","US-PFk","US-PFt"
0.336827428048327,"both","US-PFk","US-PFg"
0.402534767577242,"both","US-PFk","US-PFp"
0.577601866183972,"both","US-PFb","US-PFt"
0.579148870880083,"both","US-PFb","US-PFg"
0.591900038504611,"both","US-PFb","US-PFp"
0.565462483073117,"both","US-PFt","US-PFg"
0.647637933062242,"both","US-PFt","US-PFp"
0.611396443078364,"both","US-PFg","US-PFp"
0.424657245969092,"comp","US-PFq","US-PFn"
0.298439507935408,"comp","US-PFq","US-PFk"
0.601607234391231,"comp","US-PFq","US-PFb"
0.697445441381029,"comp","US-PFq","US-PFt"
0.274590639199126,"comp","US-PFq","US-PFg"
0.604493048746424,"comp","US-PFq","US-PFp"
0.336151213402513,"comp","US-PFn","US-PFk"
0.556240052545261,"comp","US-PFn","US-PFb"
0.493944525180331,"comp","US-PFn","US-PFt"
0.485526906876062,"comp","US-PFn","US-PFg"
0.551290458804863,"comp","US-PFn","US-PFp"
0.274843111128775,"comp","US-PFk","US-PFb"
0.383771299649545,"comp","US-PFk","US-PFt"
0.34235303115089,"comp","US-PFk","US-PFg"
0.41050939445482,"comp","US-PFk","US-PFp"
0.606983951474445,"comp","US-PFb","US-PFt"
0.59938964760085,"comp","US-PFb","US-PFg"
0.59524717925975,"comp","US-PFb","US-PFp"
0.557562672556456,"comp","US-PFt","US-PFg"
0.715785689299589,"comp","US-PFt","US-PFp"
0.63329506315266,"comp","US-PFg","US-PFp"
0.400648754211703,"trait","US-PFq","US-PFn"
0.293568710330705,"trait","US-PFq","US-PFk"
0.507422261381744,"trait","US-PFq","US-PFb"
0.635018574422874,"trait","US-PFq","US-PFt"
0.413106425999784,"trait","US-PFq","US-PFg"
0.462811274601782,"trait","US-PFq","US-PFp"
0.340920632236731,"trait","US-PFn","US-PFk"
0.574900240774888,"trait","US-PFn","US-PFb"
0.440299646719206,"trait","US-PFn","US-PFt"
0.493457465892697,"trait","US-PFn","US-PFg"
0.570741774471187,"trait","US-PFn","US-PFp"
0.270502267336398,"trait","US-PFk","US-PFb"
0.430811354699211,"trait","US-PFk","US-PFt"
0.330784514651239,"trait","US-PFk","US-PFg"
0.369197155124125,"trait","US-PFk","US-PFp"
0.58691075185128,"trait","US-PFb","US-PFt"
0.616691371611831,"trait","US-PFb","US-PFg"
0.495597055491832,"trait","US-PFb","US-PFp"
0.549790665651737,"trait","US-PFt","US-PFg"
0.595255305652508,"trait","US-PFt","US-PFp"
0.504546038948846,"trait","US-PFg","US-PFp"
0.357932897247667,"vi","US-PFq","US-PFn"
0.265322779045951,"vi","US-PFq","US-PFk"
0.527890936867904,"vi","US-PFq","US-PFb"
0.597947736254874,"vi","US-PFq","US-PFt"
0.344274809356805,"vi","US-PFq","US-PFg"
0.566687081269931,"vi","US-PFq","US-PFp"
0.296267444632891,"vi","US-PFn","US-PFk"
0.48577939617071,"vi","US-PFn","US-PFb"
0.481232263478706,"vi","US-PFn","US-PFt"
0.328989679196755,"vi","US-PFn","US-PFg"
0.327548191856946,"vi","US-PFn","US-PFp"
0.304191784372824,"vi","US-PFk","US-PFb"
0.381274202218504,"vi","US-PFk","US-PFt"
0.293162833773214,"vi","US-PFk","US-PFg"
0.403391382390202,"vi","US-PFk","US-PFp"
0.62263811835749,"vi","US-PFb","US-PFt"
0.589077604102645,"vi","US-PFb","US-PFg"
0.584590662053784,"vi","US-PFb","US-PFp"
0.479320261894636,"vi","US-PFt","US-PFg"
0.643167309594572,"vi","US-PFt","US-PFp"
0.513702555774368,"vi","US-PFg","US-PFp"
